1:[-40.0, 72.0]
9501:[-75.68333333333334, 45.416666666666664]
9502:[-74.29, 40.65]
9503:[-74.19353, 40.666261]
9504:[-77.61138888888888, 43.16555555555556]
9506:[-78.88333333333334, 33.71666666666667]
9508:[-73.9238888888889, 44.112500000000004]
9510:[-118.13083333333333, 33.93805555555555]
9512:[-118.53583, 34.22833]
9513:[120.6, 31.3]
9514:[119.8, 32.9]
9516:[-70.30642499999999, 44.205555555555556]
9517:[1.85, 50.95]
9518:[-76.336, 37.022]
9519:[8.266666666666667, 50.0]
9520:[-1.492, 53.6801]
9521:[-76.9977828, 38.9329387]
9523:[-91.58333333333333, 41.666666666666664]
9524:[-93.0, 42.0]
9525:[138.0, 36.0]
9526:[-75.6675, 41.410555555555554]
9527:[-83.74833333333333, 42.28138888888889]
9528:[-77.19522, 40.20262]
9530:[-99.13333333333334, 19.433333333333334]
9533:[-75.9263888888889, 40.34166666666667]
9534:[-2.056424, 52.339615]
9535:[-2.22231, 52.19123]
9536:[78.06, 30.33]
9538:[-77.453255, 37.546615]
9539:[88.36666666666666, 22.566666666666666]
9542:[-66.91666666666667, 10.5]
9544:[-71.46361111111112, 42.990833333333335]
9547:[0.3333333333333333, 50.916666666666664]
9548:[-71.3761111111111, 41.87555555555556]
9549:[-71.5, 41.7]
9550:[10.398458333333332, 43.71650833333334]
9551:[-122.2103, 37.4237]
9552:[-75.91166666666668, 42.102222222222224]
9553:[-121.96353888888889, 37.387927777777776]
9554:[-87.65, 41.9]
9555:[-87.49305555555556, 41.611111111111114]
9556:[10.033333333333333, 45.13333333333333]
9557:[-106.325, 42.85]
9559:[-73.50138888888888, 41.305277777777775]
9560:[-71.63, 42.077222222222225]
9561:[-71.91, 42.35]
9566:[-87.0, 44.0]
9569:[-85.0, 41.0]
9570:[-125.5, 49.5]
9571:[-160.0, 0.0]
9575:[46.71666666666667, 24.633333333333333]
9577:[-4.259, 55.858000000000004]
9578:[-76.87555555555555, 40.26972222222222]
9579:[0.73, 51.19]
9580:[-77.628333, 43.128333]
9581:[-112.46944444444445, 34.541666666666664]
9583:[8.666666666666666, 50.12777777777778]
9585:[-83.71, 43.02]
9586:[-73.6775, 42.73]
9588:[135.52, 34.686388888888885]
9589:[135.50222222222223, 34.693888888888885]
9590:[-117.92861111111111, 33.88]
9591:[-117.78, 33.67]
9592:[-117.88972222222223, 33.836111111111116]
9593:[-87.62833333333333, 41.834652777777784]
